time,latitude,latitude_direction,longitude,longitude_direction,fix,numOfSat,horizontal_dilution,altitude,direct_of_altitude,altitude_location,speed,date
042201.0,3149.490255,N,03439.952051,E,1,07,0.9,8.5,M,19.0, , 
042201.0,3149.490255,N,03439.952051,E, , , , , , ,0.0,080416
042202.0,3149.490450,N,03439.951278,E,1,07,0.9,8.8,M,19.0, , 
042202.0,3149.490450,N,03439.951278,E, , , , , , ,0.0,080416
042203.0,3149.490293,N,03439.950967,E,1,07,0.9,9.4,M,19.0, , 
042203.0,3149.490293,N,03439.950967,E, , , , , , ,0.0,080416
042204.0,3149.490371,N,03439.949791,E,1,07,0.9,9.0,M,19.0, , 
042204.0,3149.490371,N,03439.949791,E, , , , , , ,0.0,080416
042205.0,3149.490044,N,03439.949286,E,1,07,0.9,9.0,M,19.0, , 
042205.0,3149.490044,N,03439.949286,E, , , , , , ,0.0,080416
042206.0,3149.489782,N,03439.949278,E,1,07,0.9,8.2,M,19.0, , 
042206.0,3149.489782,N,03439.949278,E, , , , , , ,0.0,080416
042207.0,3149.489563,N,03439.949075,E,1,07,0.9,8.4,M,19.0, , 
042207.0,3149.489563,N,03439.949075,E, , , , , , ,0.0,080416
042208.0,3149.489742,N,03439.948867,E,1,07,0.9,9.3,M,19.0, , 
042208.0,3149.489742,N,03439.948867,E, , , , , , ,0.0,080416
042209.0,3149.489767,N,03439.948811,E,1,07,0.9,9.4,M,19.0, , 
042209.0,3149.489767,N,03439.948811,E, , , , , , ,0.0,080416
042210.0,3149.489733,N,03439.948801,E,1,07,0.9,9.2,M,19.0, , 
042210.0,3149.489733,N,03439.948801,E, , , , , , ,0.0,080416
042211.0,3149.489757,N,03439.948781,E,1,07,0.9,9.3,M,19.0, , 
042211.0,3149.489757,N,03439.948781,E, , , , , , ,0.0,080416
042212.0,3149.489764,N,03439.948767,E,1,07,0.9,9.3,M,19.0, , 
042212.0,3149.489764,N,03439.948767,E, , , , , , ,0.0,080416
042213.0,3149.489770,N,03439.948762,E,1,07,0.9,9.3,M,19.0, , 
042213.0,3149.489770,N,03439.948762,E, , , , , , ,0.0,080416
