time,latitude,latitude_direction,longitude,longitude_direction,fix,numOfSat,horizontal_dilution,altitude,direct_of_altitude,altitude_location,speed,date
050456.0,3146.918110,N,03438.375490,E,1,07,1.5,67.1,M,19.0, , 
050456.0,3146.918110,N,03438.375490,E, , , , , , ,0.0,080416
050457.0,3146.920084,N,03438.377305,E,1,08,1.4,67.0,M,19.0, , 
050457.0,3146.920084,N,03438.377305,E, , , , , , ,0.0,080416
050458.0,3146.920551,N,03438.377524,E,1,08,1.4,66.9,M,19.0, , 
050458.0,3146.920551,N,03438.377524,E, , , , , , ,0.0,080416
050459.0,3146.920381,N,03438.377569,E,1,08,1.4,66.9,M,19.0, , 
050459.0,3146.920381,N,03438.377569,E, , , , , , ,0.0,080416
050500.0,3146.920655,N,03438.377512,E,1,08,1.4,66.8,M,19.0, , 
050500.0,3146.920655,N,03438.377512,E, , , , , , ,0.0,080416
050501.0,3146.919351,N,03438.378142,E,1,08,1.4,66.7,M,19.0, , 
050501.0,3146.919351,N,03438.378142,E, , , , , , ,0.0,080416
050502.0,3146.918607,N,03438.378593,E,1,08,1.4,66.7,M,19.0, , 
050502.0,3146.918607,N,03438.378593,E, , , , , , ,0.0,080416
050503.0,3146.918697,N,03438.378563,E,1,08,1.4,66.7,M,19.0, , 
050503.0,3146.918697,N,03438.378563,E, , , , , , ,0.0,080416
050504.0,3146.902975,N,03438.377944,E,1,08,1.4,52.1,M,19.0, , 
050504.0,3146.902975,N,03438.377944,E, , , , , , ,0.5,080416
050505.0,3146.903483,N,03438.378121,E,1,08,1.4,50.2,M,19.0, , 
050505.0,3146.903483,N,03438.378121,E, , , , , , ,0.0,080416
050506.0,3146.903354,N,03438.378448,E,1,08,1.4,49.2,M,19.0, , 
050506.0,3146.903354,N,03438.378448,E, , , , , , ,0.0,080416
050507.0,3146.903045,N,03438.378367,E,1,08,1.4,48.9,M,19.0, , 
050507.0,3146.903045,N,03438.378367,E, , , , , , ,0.0,080416
050508.0,3146.902662,N,03438.378203,E,1,08,1.3,48.7,M,19.0, , 
